transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,product_id,unit_price,product_category,product_type,product_detail,Revenue,month,month name,weekday,weekday name,hour
1,1/1/2023,7:06:11,2,5,Lower Manhattan,32,3,Coffee,Gourmet brewed coffee,Ethiopia Rg,"R$ 6,00",1,janeiro,7,domingo,7
2,1/1/2023,7:08:56,2,5,Lower Manhattan,57,"3,1",Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,"R$ 6,20",1,janeiro,7,domingo,7
3,1/1/2023,7:14:04,2,5,Lower Manhattan,59,"4,5",Drinking Chocolate,Hot chocolate,Dark chocolate Lg,"R$ 9,00",1,janeiro,7,domingo,7
4,1/1/2023,7:20:24,1,5,Lower Manhattan,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,"R$ 2,00",1,janeiro,7,domingo,7
5,1/1/2023,7:22:41,2,5,Lower Manhattan,57,"3,1",Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,"R$ 6,20",1,janeiro,7,domingo,7
6,1/1/2023,7:22:41,1,5,Lower Manhattan,77,3,Bakery,Scone,Oatmeal Scone,"R$ 3,00",1,janeiro,7,domingo,7
7,1/1/2023,7:25:49,1,5,Lower Manhattan,22,2,Coffee,Drip coffee,Our Old Time Diner Blend Sm,"R$ 2,00",1,janeiro,7,domingo,7
8,1/1/2023,7:33:34,2,5,Lower Manhattan,28,2,Coffee,Gourmet brewed coffee,Columbian Medium Roast Sm,"R$ 4,00",1,janeiro,7,domingo,7
9,1/1/2023,7:39:13,1,5,Lower Manhattan,39,"4,25",Coffee,Barista Espresso,Latte Rg,"R$ 4,25",1,janeiro,7,domingo,7
10,1/1/2023,7:39:34,2,5,Lower Manhattan,58,"3,5",Drinking Chocolate,Hot chocolate,Dark chocolate Rg,"R$ 7,00",1,janeiro,7,domingo,7
11,1/1/2023,7:43:05,1,5,Lower Manhattan,56,"2,55",Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,"R$ 2,55",1,janeiro,7,domingo,7
12,1/1/2023,7:44:35,2,5,Lower Manhattan,33,"3,5",Coffee,Gourmet brewed coffee,Ethiopia Lg,"R$ 7,00",1,janeiro,7,domingo,7
13,1/1/2023,7:45:51,1,5,Lower Manhattan,51,3,Tea,Brewed Black tea,Earl Grey Lg,"R$ 3,00",1,janeiro,7,domingo,7
14,1/1/2023,7:48:19,1,5,Lower Manhattan,57,"3,1",Tea,Brewed Chai tea,Spicy Eye Opener Chai Lg,"R$ 3,10",1,janeiro,7,domingo,7
15,1/1/2023,7:52:36,2,5,Lower Manhattan,87,3,Coffee,Barista Espresso,Ouro Brasileiro shot,"R$ 6,00",1,janeiro,7,domingo,7
16,1/1/2023,7:59:58,2,5,Lower Manhattan,47,3,Tea,Brewed Green tea,Serenity Green Tea Lg,"R$ 6,00",1,janeiro,7,domingo,7
17,1/1/2023,7:59:58,1,5,Lower Manhattan,79,"3,75",Bakery,Scone,Jumbo Savory Scone,"R$ 3,75",1,janeiro,7,domingo,8
18,1/1/2023,8:00:18,1,8,Hell's Kitchen,42,"2,5",Tea,Brewed herbal tea,Lemon Grass Rg,"R$ 2,50",1,janeiro,7,domingo,8
19,1/1/2023,8:00:39,2,8,Hell's Kitchen,59,"4,5",Drinking Chocolate,Hot chocolate,Dark chocolate Lg,"R$ 9,00",1,janeiro,7,domingo,8
20,1/1/2023,8:11:45,1,8,Hell's Kitchen,61,"4,75",Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,"R$ 4,75",1,janeiro,7,domingo,8
21,1/1/2023,8:17:27,2,8,Hell's Kitchen,33,"3,5",Coffee,Gourmet brewed coffee,Ethiopia Lg,"R$ 7,00",1,janeiro,7,domingo,8
22,1/1/2023,8:24:26,2,5,Lower Manhattan,56,"2,55",Tea,Brewed Chai tea,Spicy Eye Opener Chai Rg,"R$ 5,10",1,janeiro,7,domingo,8
